Número de cliente,Nombre,RFC,Teléfonos,Correo,Dirección,Fecha de alta,Fecha de baja,Razón social,Tipo de persona,Segmento,Banco,Sucursal origen,Sucursal atiende,Promotor origen,Promotor atiende,ID del prospecto de cliente,Última calificación de buró,Concierge asignado,Promotores de apoyo asignados
CLI-4000001,Roberto Cano Lugo,ANAL810202B7D,"5501234567, 8107654321",roberto.cano@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",18/07/2024,,Roberto Cano Lugo,PF,Patrimonial,Banco B,San Pedro,CDMX Reforma,Ana López,Ana López,,607,USR-0002,
CLI-4000002,Gabriela Ortiz Mena,CARL820303C4G,"5502469134, 8115308642",gabriela.ortiz@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",21/07/2024,,Gabriela Ortiz Mena,PFAE,Empresarial,Banco A,Guadalajara Sur,Mérida,Carlos Ruiz,Carlos Ruiz,POF000002,614,USR-0003,
CLI-4000003,Grupo Aurora SAPI de CV,MAR830404D1J,"5503703701, 8122962963",grupo.aurora@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",24/07/2024,,Grupo Aurora SAPI de CV,PM,PyME,Banco B,CDMX Reforma,Valle Oriente,María García,María García,,621,USR-0004,PRM1003;PRM1007
CLI-4000004,Mónica Vela Duarte,JORG840505E8M,"5504938268, 8130617284",monica.vela@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",27/07/2024,,Mónica Vela Duarte,PF,Banca personal,Banco A,Mérida,Monterrey Centro,Jorge Pérez,Jorge Pérez,POF000004,628,USR-0005,
CLI-4000005,Andrés Lozano Peña,LAUR850606F5P,"5506172835, 8138271605",andres.lozano@correo.com,"Av. Vallarta 2200, Col. Americana, Guadalajara, JAL, 44160",30/07/2024,,Andrés Lozano Peña,PFAE,Preferente,Banco B,Valle Oriente,San Pedro,Laura Méndez,Laura Méndez,,635,USR-0006,
CLI-4000006,Tecnología Vértice SA,DIE860707G2S,"5507407402, 8145925926",tecnologia.vertice@empresa.com,"Av. Paseo de la Reforma 123, Col. Juárez, CDMX, 06600",02/08/2024,,Tecnología Vértice SA,PM,Patrimonial,Banco A,Monterrey Centro,Guadalajara Sur,Diego Torres,Diego Torres,POF000006,642,USR-0007,PRM1003;PRM1007
CLI-4000007,Héctor Maldonado Ruiz,SOFÍ870808H9V,"5508641969, 8153580247",hector.maldonado@correo.com,"Calz. del Valle 456, San Pedro Garza García, NL, 66220",05/08/2024,,Héctor Maldonado Ruiz,PF,Empresarial,Banco B,San Pedro,CDMX Reforma,Sofía Ramírez,Sofía Ramírez,,649,USR-0008,
CLI-4000008,Verónica Campos León,LUIS880909I6Y,"5509876536, 8161234568",veronica.campos@correo.com,"Blvd. Díaz Ordaz 789, Guadalajara, JAL, 44100",08/08/2024,,Verónica Campos León,PFAE,PyME,Banco A,Guadalajara Sur,Mérida,Luis Hernández,Luis Hernández,POF000008,656,USR-0009,
CLI-4000009,Comercializadora Helios SA,PAO891010J3B,"5511111103, 8168888889",comercializadora.helios@empresa.com,"Av. Constitución 1010, Monterrey, NL, 64000",11/08/2024,,Comercializadora Helios SA,PM,Banca personal,Banco B,CDMX Reforma,Valle Oriente,Paola Castro,Paola Castro,,663,USR-0010,PRM1003;PRM1007
CLI-4000010,Daniela Ponce Mora,MIGU901111K0E,"5512345670, 8176543210",daniela.ponce@correo.com,"Calle 60 #321, Centro, Mérida, YUC, 97000",14/08/2024,,Daniela Ponce Mora,PF,Preferente,Banco A,Mérida,Monterrey Centro,Miguel Díaz,Miguel Díaz,POF000010,670,USR-0011,
